Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,63.500000,63.849998,62.299999,63.139999,60.010925,1753500
2021-06-16,63.130001,63.279999,61.570000,61.790001,58.727829,2550800
2021-06-17,61.720001,61.720001,59.040001,59.230000,56.294697,3584600
2021-06-18,58.529999,58.900002,57.630001,58.029999,55.154163,3535500
2021-06-21,58.900002,60.299999,58.869999,59.599998,56.646362,3234200
2021-06-22,60.630001,61.680000,60.000000,61.299999,58.262112,2503500
2021-06-23,61.619999,61.858002,61.189999,61.299999,58.262112,1637600
2021-06-24,61.340000,61.720001,60.825001,60.889999,57.872429,2064100
2021-06-25,61.395000,61.580002,60.985001,61.070000,58.043510,1828900
2021-06-28,61.310001,61.310001,59.430000,59.439999,56.494289,2089100
2021-06-29,60.119999,60.790001,58.869999,59.320000,56.819958,1322900
2021-06-30,59.279999,60.619999,59.049999,60.610001,58.055592,1782900
2021-07-01,61.250000,61.970001,61.009998,61.430000,58.841038,1165200
2021-07-02,61.400002,61.639999,60.139999,60.840000,58.275898,1132500
2021-07-06,60.830002,60.830002,58.549999,59.070000,56.580494,1502400
2021-07-07,59.000000,59.869999,58.680000,59.459999,56.954060,1218600
2021-07-08,58.750000,59.849998,58.169998,59.580002,57.069000,1623500
2021-07-09,60.270000,61.415001,60.025002,61.209999,58.630302,1131800
2021-07-12,60.990002,61.810001,60.520000,61.400002,58.812298,980600
2021-07-13,61.509998,61.880001,61.040001,61.590000,58.994289,1062700
2021-07-14,62.009998,62.450001,61.349998,61.490002,58.898506,1095000
2021-07-15,60.990002,61.869999,60.724998,61.200001,58.620728,988500
2021-07-16,61.580002,61.709999,59.200001,59.369999,56.867851,1571300
2021-07-19,58.000000,58.180000,57.080002,57.509998,55.086243,2213000
2021-07-20,57.680000,59.119999,57.250000,58.580002,56.111149,1923300
2021-07-21,59.139999,59.950001,59.139999,59.669998,57.155209,1008200
2021-07-22,59.889999,59.910000,59.029999,59.560001,57.049847,1174800
2021-07-23,59.900002,59.950001,58.540001,59.130001,56.637970,1308500
2021-07-26,58.990002,60.040001,58.799999,59.400002,56.896587,1296600
2021-07-27,59.000000,59.285000,57.990002,58.650002,56.178192,903200
2021-07-28,58.980000,59.764999,58.169998,59.470001,56.963638,939700
2021-07-29,60.040001,60.290001,59.675999,59.930000,57.404255,843700
2021-07-30,60.119999,60.889999,59.180000,59.400002,56.896587,1702700
